age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,20819,YES,0,NO,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,TOWN,26077.8,YES,1,YES,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,TOWN,41627.1,YES,0,NO,YES,YES,YES,NO
'\'(50.666667-inf)\'',MALE,INNER_CITY,16977.3,YES,0,NO,NO,YES,NO,NO
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,19012.8,NO,3,YES,NO,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,12764.8,YES,1,NO,YES,YES,YES,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,14388.6,NO,0,YES,NO,YES,YES,YES
'\'(50.666667-inf)\'',MALE,INNER_CITY,59409.1,NO,0,YES,YES,YES,NO,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,14960.2,YES,0,NO,YES,YES,YES,NO
'\'(50.666667-inf)\'',MALE,INNER_CITY,39666.6,YES,0,YES,YES,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,20771.9,NO,0,NO,YES,NO,NO,YES
'\'(50.666667-inf)\'',MALE,INNER_CITY,24474.1,NO,0,YES,NO,NO,NO,YES
'\'(50.666667-inf)\'',MALE,TOWN,33123.7,YES,1,YES,YES,YES,NO,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,14433.4,YES,0,YES,YES,YES,NO,YES
'\'(-inf-34.333333]\'',MALE,TOWN,13175.5,NO,1,NO,NO,YES,NO,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,9824.37,YES,0,NO,YES,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,SUBURBAN,17610.3,YES,0,NO,YES,YES,NO,NO
'\'(-inf-34.333333]\'',FEMALE,SUBURBAN,15156.2,YES,0,YES,NO,YES,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,31774.1,YES,3,YES,YES,YES,YES,NO
'\'(34.333333-50.666667]\'',MALE,TOWN,31693.5,NO,0,YES,YES,NO,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,28598.7,YES,0,YES,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,26261.7,NO,2,YES,NO,NO,NO,NO
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,42124.1,YES,2,NO,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,39308.7,YES,1,NO,YES,YES,NO,YES
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,43530,YES,0,NO,YES,YES,YES,NO
'\'(50.666667-inf)\'',MALE,RURAL,49874.4,YES,3,NO,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,RURAL,27434.8,NO,0,YES,YES,YES,NO,YES
'\'(50.666667-inf)\'',MALE,INNER_CITY,50474.6,YES,2,YES,YES,YES,NO,YES
'\'(50.666667-inf)\'',MALE,TOWN,24888.2,NO,0,NO,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,RURAL,28021.6,NO,0,YES,NO,YES,YES,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,12279.5,NO,0,YES,NO,NO,NO,YES
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,30189.4,YES,0,YES,NO,YES,YES,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,28969.4,NO,1,NO,NO,YES,YES,NO
'\'(-inf-34.333333]\'',MALE,SUBURBAN,14058.5,YES,0,NO,NO,YES,YES,YES
'\'(-inf-34.333333]\'',FEMALE,TOWN,30404.3,YES,0,YES,YES,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,RURAL,41438.2,NO,3,NO,YES,NO,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,16711.3,NO,1,NO,YES,YES,YES,YES
'\'(50.666667-inf)\'',MALE,TOWN,52255.9,NO,2,YES,YES,YES,NO,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,17866.9,YES,2,NO,YES,YES,YES,NO
'\'(-inf-34.333333]\'',FEMALE,RURAL,18067.5,YES,2,NO,YES,NO,NO,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,12823.7,YES,0,YES,YES,YES,NO,NO
'\'(-inf-34.333333]\'',FEMALE,RURAL,11299.3,YES,2,YES,NO,NO,NO,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,56031.1,NO,0,YES,YES,YES,NO,YES
'\'(50.666667-inf)\'',MALE,INNER_CITY,35263.5,YES,1,YES,YES,YES,NO,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,19968.1,YES,0,YES,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',MALE,RURAL,27825.5,YES,2,YES,YES,NO,NO,NO
'\'(34.333333-50.666667]\'',MALE,SUBURBAN,37773.9,NO,0,YES,YES,YES,YES,NO
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,7606.25,NO,3,YES,NO,NO,NO,NO
'\'(-inf-34.333333]\'',MALE,RURAL,21384.4,YES,0,NO,NO,YES,NO,NO
'\'(34.333333-50.666667]\'',MALE,TOWN,20347,YES,3,NO,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',MALE,TOWN,21332.3,YES,3,YES,NO,YES,NO,NO
'\'(50.666667-inf)\'',MALE,INNER_CITY,57671.7,NO,0,NO,YES,YES,YES,NO
'\'(34.333333-50.666667]\'',FEMALE,TOWN,36057.8,YES,1,YES,YES,YES,YES,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,14290.5,YES,2,NO,NO,YES,YES,NO
'\'(34.333333-50.666667]\'',FEMALE,TOWN,17882.9,YES,1,NO,NO,NO,NO,YES
'\'(-inf-34.333333]\'',FEMALE,RURAL,10629.1,NO,3,NO,YES,YES,YES,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,24262.8,NO,0,YES,NO,YES,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,SUBURBAN,26097.9,NO,2,NO,YES,YES,NO,NO
'\'(-inf-34.333333]\'',FEMALE,TOWN,23371,YES,2,NO,NO,YES,YES,NO
'\'(34.333333-50.666667]\'',FEMALE,TOWN,21495.6,NO,3,NO,NO,YES,YES,NO
'\'(34.333333-50.666667]\'',MALE,TOWN,12166.9,NO,0,NO,NO,NO,NO,NO
'\'(-inf-34.333333]\'',MALE,SUBURBAN,17180.2,YES,0,NO,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,TOWN,28882.3,YES,1,NO,YES,YES,YES,YES
'\'(34.333333-50.666667]\'',FEMALE,TOWN,21612.2,YES,0,NO,NO,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,46358.4,YES,0,YES,YES,YES,YES,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,19166,NO,0,YES,YES,NO,NO,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,17921.8,YES,1,YES,NO,NO,NO,YES
'\'(50.666667-inf)\'',MALE,TOWN,33229,NO,0,YES,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,SUBURBAN,30396.1,NO,0,NO,YES,YES,NO,YES
'\'(50.666667-inf)\'',FEMALE,TOWN,34625.2,YES,0,YES,NO,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,TOWN,16672.8,NO,3,YES,NO,YES,YES,NO
'\'(50.666667-inf)\'',FEMALE,SUBURBAN,60747.5,NO,2,NO,YES,YES,YES,YES
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,56394.3,NO,0,YES,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,TOWN,13236.4,YES,0,NO,YES,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,28409.4,YES,1,YES,NO,YES,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,27056.5,YES,0,YES,YES,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,RURAL,9362.58,YES,0,YES,NO,YES,YES,YES
'\'(34.333333-50.666667]\'',FEMALE,SUBURBAN,28702.7,NO,1,NO,YES,YES,YES,YES
'\'(-inf-34.333333]\'',MALE,TOWN,22366.1,YES,1,YES,YES,YES,NO,YES
'\'(50.666667-inf)\'',FEMALE,RURAL,24477.5,NO,0,NO,YES,NO,YES,NO
'\'(34.333333-50.666667]\'',MALE,TOWN,36972.4,YES,1,NO,NO,YES,YES,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,22327.8,YES,1,NO,NO,NO,NO,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,15610.2,YES,0,NO,YES,YES,NO,NO
'\'(50.666667-inf)\'',MALE,INNER_CITY,54314.5,YES,1,YES,YES,NO,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,39175.8,YES,3,NO,YES,YES,YES,NO
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,13739,YES,3,NO,YES,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,TOWN,9485.84,YES,0,NO,NO,NO,NO,NO
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,24675.7,YES,1,YES,YES,YES,YES,YES
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,28253.6,YES,3,NO,NO,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,14136.5,YES,1,NO,YES,NO,NO,NO
'\'(50.666667-inf)\'',FEMALE,RURAL,37162.1,YES,1,YES,YES,YES,NO,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,13519.2,NO,0,NO,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,39253.6,NO,0,YES,YES,NO,NO,YES
'\'(50.666667-inf)\'',MALE,RURAL,46323.8,YES,2,YES,YES,YES,YES,YES
'\'(-inf-34.333333]\'',FEMALE,TOWN,20950.7,YES,0,NO,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',MALE,TOWN,22495.7,YES,0,NO,YES,NO,YES,NO
'\'(-inf-34.333333]\'',MALE,TOWN,32548.9,YES,0,YES,YES,YES,YES,NO
'\'(50.666667-inf)\'',FEMALE,RURAL,24583.4,NO,2,YES,YES,YES,YES,NO
'\'(-inf-34.333333]\'',MALE,RURAL,8639.24,YES,2,NO,NO,NO,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,17139.5,NO,2,YES,NO,YES,NO,NO
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,13667.7,YES,0,NO,YES,YES,NO,NO
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,8162.42,YES,1,YES,YES,YES,YES,NO
'\'(34.333333-50.666667]\'',FEMALE,TOWN,15349.6,YES,0,NO,YES,NO,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,TOWN,29231.4,YES,0,NO,YES,NO,NO,NO
'\'(34.333333-50.666667]\'',MALE,RURAL,41462.3,YES,3,NO,YES,YES,YES,NO
'\'(50.666667-inf)\'',FEMALE,RURAL,57398.1,NO,3,NO,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,RURAL,11520.8,YES,0,NO,NO,YES,NO,NO
'\'(50.666667-inf)\'',MALE,INNER_CITY,52117.3,NO,2,YES,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,RURAL,26281.4,NO,0,YES,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,TOWN,25683.4,NO,2,YES,YES,YES,NO,NO
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,11920.7,NO,1,NO,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',MALE,TOWN,30658.7,YES,0,NO,YES,YES,NO,NO
'\'(50.666667-inf)\'',MALE,INNER_CITY,36646.4,NO,1,NO,YES,YES,NO,YES
'\'(50.666667-inf)\'',FEMALE,TOWN,30760.4,NO,2,YES,NO,YES,NO,YES
'\'(-inf-34.333333]\'',FEMALE,RURAL,16109.9,NO,2,YES,YES,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,TOWN,18036.7,YES,0,YES,YES,NO,NO,NO
'\'(34.333333-50.666667]\'',MALE,RURAL,42628.3,NO,0,YES,YES,YES,YES,NO
'\'(50.666667-inf)\'',MALE,INNER_CITY,22110.1,NO,2,YES,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,TOWN,37689.1,NO,1,NO,YES,YES,YES,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,23171.8,NO,2,NO,YES,NO,NO,NO
'\'(34.333333-50.666667]\'',MALE,SUBURBAN,21951.3,NO,0,YES,YES,YES,YES,NO
'\'(50.666667-inf)\'',MALE,INNER_CITY,38103.4,NO,2,YES,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,RURAL,22882.9,YES,0,YES,NO,NO,YES,YES
'\'(-inf-34.333333]\'',FEMALE,TOWN,11043.7,YES,1,YES,YES,NO,YES,NO
'\'(-inf-34.333333]\'',MALE,TOWN,24027.6,NO,0,NO,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,SUBURBAN,28495.1,YES,0,NO,YES,YES,NO,NO
'\'(-inf-34.333333]\'',FEMALE,TOWN,9465.21,NO,0,NO,NO,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,34852.3,YES,1,NO,YES,NO,YES,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,21268.4,YES,0,NO,NO,YES,YES,YES
'\'(50.666667-inf)\'',FEMALE,RURAL,50849.2,NO,1,NO,YES,NO,YES,YES
'\'(-inf-34.333333]\'',FEMALE,TOWN,18555.9,YES,3,NO,NO,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,RURAL,52769.9,YES,3,YES,YES,YES,NO,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,11601.4,YES,2,NO,YES,YES,YES,NO
'\'(-inf-34.333333]\'',FEMALE,TOWN,29541.7,YES,0,NO,YES,NO,NO,NO
'\'(34.333333-50.666667]\'',MALE,SUBURBAN,17861,YES,2,NO,YES,YES,NO,NO
'\'(-inf-34.333333]\'',FEMALE,SUBURBAN,21042,YES,1,NO,NO,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,TOWN,26688.1,YES,1,NO,YES,NO,YES,YES
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,26900.6,YES,2,NO,NO,NO,YES,NO
'\'(50.666667-inf)\'',MALE,INNER_CITY,38080.9,YES,1,YES,YES,NO,YES,NO
'\'(50.666667-inf)\'',MALE,SUBURBAN,37554.1,YES,2,YES,YES,YES,YES,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,18184.6,YES,0,NO,NO,YES,YES,YES
'\'(34.333333-50.666667]\'',FEMALE,SUBURBAN,28864.9,YES,0,NO,YES,YES,NO,NO
'\'(50.666667-inf)\'',MALE,RURAL,48346.1,YES,1,YES,YES,NO,NO,YES
'\'(50.666667-inf)\'',MALE,INNER_CITY,53104.3,YES,0,YES,YES,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,19416.8,YES,0,NO,YES,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,RURAL,23638.1,YES,2,YES,YES,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,TOWN,42378.2,YES,1,NO,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,RURAL,39745.3,YES,0,YES,YES,NO,YES,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,45189.8,YES,0,NO,YES,NO,NO,NO
'\'(50.666667-inf)\'',MALE,INNER_CITY,37930.9,YES,0,NO,YES,NO,YES,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,24042,NO,1,NO,NO,YES,NO,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,31207.1,NO,0,YES,NO,YES,YES,YES
'\'(34.333333-50.666667]\'',MALE,TOWN,24424.3,YES,0,NO,YES,YES,YES,NO
'\'(50.666667-inf)\'',FEMALE,RURAL,24607.8,NO,1,NO,YES,YES,YES,NO
'\'(34.333333-50.666667]\'',MALE,TOWN,43057,NO,1,YES,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,SUBURBAN,30198.5,YES,0,YES,NO,YES,YES,YES
'\'(50.666667-inf)\'',FEMALE,RURAL,50186.1,YES,2,NO,YES,YES,YES,YES
'\'(34.333333-50.666667]\'',FEMALE,SUBURBAN,22916.1,YES,0,NO,NO,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,RURAL,9592.73,NO,0,NO,YES,YES,NO,YES
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,34253.6,NO,3,YES,NO,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,22792.3,YES,1,YES,YES,NO,NO,YES
'\'(50.666667-inf)\'',FEMALE,TOWN,51620.8,NO,2,YES,YES,YES,NO,YES
'\'(50.666667-inf)\'',MALE,TOWN,19918.9,YES,3,NO,YES,YES,YES,NO
'\'(50.666667-inf)\'',MALE,TOWN,29625.1,YES,2,NO,NO,YES,NO,NO
'\'(-inf-34.333333]\'',FEMALE,TOWN,12549,YES,0,NO,YES,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,TOWN,51299.3,YES,1,YES,YES,NO,NO,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,17364.8,YES,2,YES,YES,NO,NO,YES
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,29866.9,NO,1,YES,NO,YES,NO,YES
'\'(50.666667-inf)\'',MALE,INNER_CITY,47750.2,YES,0,YES,YES,YES,YES,NO
'\'(-inf-34.333333]\'',MALE,TOWN,11281.5,YES,0,NO,YES,YES,YES,NO
'\'(50.666667-inf)\'',MALE,INNER_CITY,34073.8,YES,3,NO,YES,NO,YES,NO
'\'(50.666667-inf)\'',MALE,INNER_CITY,46870.4,YES,0,NO,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,38453.7,NO,2,NO,YES,YES,NO,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,7756.36,NO,0,NO,NO,NO,NO,YES
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,28413.8,YES,0,NO,NO,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,SUBURBAN,47198.6,YES,2,NO,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,20866.3,YES,0,YES,YES,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,TOWN,33204.3,NO,1,NO,NO,NO,YES,YES
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,24823.5,NO,2,NO,NO,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,SUBURBAN,17986.8,YES,0,NO,NO,YES,YES,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,9909.82,YES,3,NO,NO,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,TOWN,26542.8,NO,0,YES,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,32583.5,YES,2,YES,YES,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,14606.6,YES,1,NO,NO,YES,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,TOWN,34836.8,YES,1,YES,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,TOWN,26920.8,YES,0,NO,NO,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,38248.3,NO,3,YES,NO,YES,YES,NO
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,15689.1,NO,0,NO,NO,YES,NO,NO
'\'(50.666667-inf)\'',MALE,INNER_CITY,30157.7,NO,1,YES,NO,NO,NO,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,14642.2,NO,0,YES,NO,YES,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,15933.3,YES,0,NO,YES,NO,NO,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,44288.3,YES,0,NO,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',MALE,TOWN,22197.1,NO,0,YES,NO,YES,NO,YES
'\'(50.666667-inf)\'',FEMALE,TOWN,38248.3,YES,3,YES,YES,NO,NO,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,22053.2,YES,2,YES,YES,NO,YES,NO
'\'(50.666667-inf)\'',FEMALE,SUBURBAN,25468.5,NO,0,YES,NO,NO,YES,YES
'\'(50.666667-inf)\'',FEMALE,TOWN,23485.9,YES,3,YES,NO,NO,YES,NO
'\'(34.333333-50.666667]\'',MALE,RURAL,25768.6,YES,0,YES,YES,NO,NO,NO
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,34182.2,YES,2,NO,YES,YES,NO,YES
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,57444.5,NO,1,NO,YES,YES,NO,YES
